transcript,effect_sex,pvalue_sex,fdr_sex
ENSGACT00000013619,-0.045,0.492,0.816
ENSGACT00000013620,0.043,0.314,0.641
ENSGACT00000013621,0.031,0.688,0.862
ENSGACT00000013625,0.009,0.640,0.816
ENSGACT00000013626,-0.119,0.356,0.641
ENSGACT00000013628,-0.263,0.144,0.503
ENSGACT00000013631,-0.058,0.206,0.545
ENSGACT00000013639,-0.392,0.001,0.014
ENSGACT00000013646,-0.035,0.516,0.816
ENSGACT00000013647,-0.264,0.001,0.014
ENSGACT00000013651,-0.009,0.812,1.000
ENSGACT00000013659,-0.064,0.324,0.641
ENSGACT00000013662,0.076,0.524,0.816
ENSGACT00000013664,-0.102,0.310,0.641
ENSGACT00000013665,-0.242,0.001,0.014
ENSGACT00000013666,-0.241,0.004,0.068
ENSGACT00000013668,0.025,0.370,0.641
ENSGACT00000013671,-0.048,0.196,0.545
ENSGACT00000013673,-0.089,0.270,0.545
ENSGACT00000013674,-0.114,0.092,0.343
ENSGACT00000013675,-0.541,0.001,0.014
ENSGACT00000013678,0.758,0.001,0.014
ENSGACT00000013679,-0.200,0.001,0.014
ENSGACT00000013681,-0.338,0.001,0.014
ENSGACT00000013683,0.445,0.012,0.102
ENSGACT00000013686,-0.206,0.001,0.014
ENSGACT00000013687,-0.711,0.001,0.014
ENSGACT00000013688,0.097,0.084,0.325
ENSGACT00000013697,-0.125,0.030,0.183
ENSGACT00000013704,-0.080,0.278,0.554
ENSGACT00000013705,0.040,0.156,0.511
ENSGACT00000013706,-0.149,0.134,0.498
ENSGACT00000013709,0.226,0.116,0.465
ENSGACT00000013710,0.127,0.634,0.816
ENSGACT00000013711,-0.027,0.482,0.783
ENSGACT00000013712,-0.110,0.040,0.254
ENSGACT00000013715,0.070,0.020,0.152
ENSGACT00000013717,-0.129,0.120,0.465
ENSGACT00000013724,0.401,0.001,0.014
ENSGACT00000013726,0.167,0.104,0.465
ENSGACT00000013727,-0.060,0.442,0.783
ENSGACT00000013732,0.163,0.092,0.343
ENSGACT00000013733,-0.138,0.056,0.266
ENSGACT00000013743,0.370,0.001,0.014
ENSGACT00000013748,-0.286,0.004,0.068
ENSGACT00000013752,0.082,0.758,0.947
ENSGACT00000013753,0.047,0.418,0.783
ENSGACT00000013754,0.225,0.026,0.161
ENSGACT00000013755,0.088,0.186,0.537
ENSGACT00000013758,0.299,0.001,0.014
ENSGACT00000013760,0.129,0.034,0.206
ENSGACT00000013763,0.017,0.506,0.816
ENSGACT00000013768,0.085,0.060,0.266
ENSGACT00000013769,0.102,0.268,0.545
ENSGACT00000013771,0.071,0.380,0.708
ENSGACT00000013775,0.262,0.006,0.068
ENSGACT00000013779,0.064,0.318,0.641
ENSGACT00000013781,0.012,0.990,1.000
ENSGACT00000013782,-0.899,0.001,0.014
ENSGACT00000013783,-0.028,0.356,0.641
ENSGACT00000013784,-0.136,0.028,0.163
ENSGACT00000013786,-0.001,0.712,0.883
ENSGACT00000013788,-0.654,0.001,0.014
ENSGACT00000013790,-0.252,0.001,0.014
ENSGACT00000013792,0.144,0.001,0.014
ENSGACT00000013793,0.408,0.001,0.014
ENSGACT00000013805,0.111,0.212,0.545
ENSGACT00000013806,0.112,0.116,0.465
ENSGACT00000013807,-0.419,0.001,0.014
ENSGACT00000013809,0.070,0.662,0.862
ENSGACT00000013814,-0.076,0.496,0.816
ENSGACT00000013816,-0.089,0.162,0.511
ENSGACT00000013819,0.077,0.146,0.511
ENSGACT00000013826,-0.048,0.606,0.816
ENSGACT00000013829,0.173,0.001,0.014
ENSGACT00000013831,-0.799,0.001,0.014
ENSGACT00000013832,-0.042,0.132,0.465
ENSGACT00000013838,-0.126,0.132,0.465
ENSGACT00000013842,0.165,0.068,0.271
ENSGACT00000013843,-0.981,0.001,0.014
ENSGACT00000013844,0.115,0.072,0.320
ENSGACT00000013848,0.053,0.490,0.816
ENSGACT00000013851,0.303,0.001,0.014
ENSGACT00000013853,-0.031,0.412,0.783
ENSGACT00000013854,0.058,0.720,0.883
ENSGACT00000013855,0.147,0.002,0.043
ENSGACT00000013856,0.277,0.004,0.068
ENSGACT00000013857,0.079,0.162,0.511
ENSGACT00000013858,-0.175,0.004,0.068
ENSGACT00000013859,-0.015,0.930,1.000
ENSGACT00000013866,0.304,0.010,0.097
ENSGACT00000013867,-0.037,0.474,0.783
ENSGACT00000013870,-0.856,0.010,0.097
ENSGACT00000013874,-0.040,0.250,0.545
ENSGACT00000013875,-0.772,0.001,0.014
ENSGACT00000013879,0.164,0.318,0.641
ENSGACT00000013882,0.042,0.690,0.862
ENSGACT00000013885,0.035,0.512,0.816
ENSGACT00000013890,0.053,0.602,0.816
ENSGACT00000013891,0.896,0.001,0.014
ENSGACT00000013893,-0.082,0.258,0.545
ENSGACT00000013894,0.032,0.282,0.554
ENSGACT00000013897,-0.041,0.454,0.783
ENSGACT00000013902,0.014,0.802,1.000
ENSGACT00000013914,0.389,0.001,0.014
ENSGACT00000013915,-0.905,0.001,0.014
ENSGACT00000013918,-0.037,0.638,0.816
ENSGACT00000013928,0.299,0.001,0.014
ENSGACT00000013930,-0.225,0.001,0.014
ENSGACT00000013933,0.071,0.382,0.708
ENSGACT00000013934,0.006,0.848,1.000
ENSGACT00000013935,0.120,0.058,0.266
ENSGACT00000013936,0.176,0.126,0.465
ENSGACT00000013937,0.220,0.004,0.068
ENSGACT00000013938,-0.004,0.906,1.000
ENSGACT00000013943,-0.844,0.001,0.014
ENSGACT00000013946,-0.004,0.748,0.947
ENSGACT00000013947,0.117,0.120,0.465
ENSGACT00000013948,0.227,0.016,0.122
ENSGACT00000013949,-0.397,0.054,0.266
ENSGACT00000013951,0.126,0.144,0.503
ENSGACT00000013955,0.382,0.001,0.014
ENSGACT00000013957,0.126,0.008,0.073
ENSGACT00000013959,-0.146,0.002,0.043
ENSGACT00000013961,-0.002,0.974,1.000
ENSGACT00000013962,-0.290,0.001,0.014
ENSGACT00000013963,-0.085,0.412,0.783
ENSGACT00000013968,-0.102,0.094,0.343
ENSGACT00000013972,-0.018,0.570,0.816
ENSGACT00000013976,-0.011,0.782,1.000
ENSGACT00000013977,0.025,0.686,0.862
ENSGACT00000013979,0.114,0.288,0.640
ENSGACT00000013980,0.294,0.006,0.068
ENSGACT00000013981,-0.086,0.180,0.527
ENSGACT00000013982,-0.187,0.076,0.325
ENSGACT00000013983,0.058,0.152,0.511
ENSGACT00000013985,-0.097,0.130,0.465
ENSGACT00000013987,-0.050,0.680,0.862
ENSGACT00000013996,0.110,0.120,0.465
ENSGACT00000013997,0.313,0.002,0.043
ENSGACT00000013999,-0.330,0.002,0.043
ENSGACT00000014001,-0.060,0.404,0.708
ENSGACT00000014016,0.152,0.280,0.554
ENSGACT00000014017,0.329,0.001,0.014
ENSGACT00000014024,0.004,0.526,0.816
ENSGACT00000014027,-0.095,0.242,0.545
ENSGACT00000014028,-0.005,0.730,0.883
ENSGACT00000014031,-0.034,0.698,0.862
ENSGACT00000014033,0.072,0.382,0.708
ENSGACT00000014034,-0.134,0.084,0.325
ENSGACT00000014036,0.269,0.001,0.014
ENSGACT00000014040,-0.039,0.308,0.641
ENSGACT00000014047,0.565,0.001,0.014
ENSGACT00000014049,0.032,0.450,0.783
ENSGACT00000014051,0.096,0.326,0.641
ENSGACT00000014052,-1.033,0.001,0.014
ENSGACT00000014056,0.116,0.192,0.545
ENSGACT00000014059,-0.197,0.001,0.014
ENSGACT00000014064,0.052,0.680,0.862
ENSGACT00000014065,0.371,0.001,0.014
ENSGACT00000014070,-0.105,0.010,0.097
ENSGACT00000014073,-0.301,0.001,0.014
ENSGACT00000014075,-0.101,0.194,0.545
ENSGACT00000014076,-1.094,0.001,0.014
ENSGACT00000014078,0.040,0.968,1.000
ENSGACT00000014079,-0.077,0.078,0.325
ENSGACT00000014081,-0.099,0.088,0.325
ENSGACT00000014083,-0.061,0.496,0.816
ENSGACT00000014084,-0.290,0.001,0.014
ENSGACT00000014085,0.134,0.010,0.097
ENSGACT00000014086,0.006,0.850,1.000
ENSGACT00000014088,0.069,0.262,0.545
ENSGACT00000014089,-0.176,0.190,0.537
ENSGACT00000014095,0.117,0.018,0.152
ENSGACT00000014098,0.008,0.838,1.000
ENSGACT00000014100,-0.013,0.904,1.000
ENSGACT00000014104,0.102,0.024,0.161
ENSGACT00000014109,-0.033,0.310,0.641
ENSGACT00000014112,0.000,0.918,1.000
ENSGACT00000014114,0.085,0.134,0.498
ENSGACT00000014115,-0.057,0.398,0.708
ENSGACT00000014119,0.138,0.002,0.043
ENSGACT00000014120,0.344,0.168,0.511
ENSGACT00000014123,-0.032,0.600,0.816
ENSGACT00000014131,0.071,0.312,0.641
ENSGACT00000014132,-0.206,0.010,0.097
ENSGACT00000014133,-0.097,0.098,0.343
ENSGACT00000014134,0.175,0.040,0.254
ENSGACT00000014136,0.403,0.001,0.014
ENSGACT00000014137,0.143,0.140,0.503
ENSGACT00000014138,0.033,0.888,1.000
ENSGACT00000014142,0.112,0.450,0.783
ENSGACT00000014146,-0.019,0.696,0.862
ENSGACT00000014147,-0.025,0.890,1.000
ENSGACT00000014149,-0.109,0.060,0.266
ENSGACT00000014150,-0.287,0.001,0.014
ENSGACT00000014153,-0.200,0.088,0.325
ENSGACT00000014155,0.076,0.778,1.000
ENSGACT00000014157,0.155,0.130,0.465
ENSGACT00000014158,-0.941,0.001,0.014
ENSGACT00000014166,0.006,0.734,0.883
ENSGACT00000014168,1.040,0.001,0.014
ENSGACT00000014170,-0.073,0.214,0.545
ENSGACT00000014173,-0.260,0.256,0.545
ENSGACT00000014176,0.399,0.001,0.014
ENSGACT00000014182,-0.137,0.068,0.271
ENSGACT00000014184,-0.064,0.620,0.816
ENSGACT00000014190,-0.065,0.480,0.783
ENSGACT00000014193,0.096,0.270,0.545
ENSGACT00000014194,-0.059,0.166,0.511
ENSGACT00000014196,0.121,0.542,0.816
ENSGACT00000014197,0.287,0.001,0.014
ENSGACT00000014199,-0.048,0.352,0.641
ENSGACT00000014200,-0.202,0.026,0.161
ENSGACT00000014214,-0.026,0.806,1.000
ENSGACT00000014215,0.102,0.306,0.641
ENSGACT00000014223,-0.116,0.210,0.545
ENSGACT00000014226,0.080,0.322,0.641
ENSGACT00000014227,-0.014,0.826,1.000
ENSGACT00000014229,0.131,0.028,0.163
ENSGACT00000014231,0.045,0.354,0.641
ENSGACT00000014232,0.062,0.612,0.816
ENSGACT00000014233,0.164,0.010,0.097
ENSGACT00000014234,0.085,0.050,0.254
ENSGACT00000014236,-0.870,0.001,0.014
ENSGACT00000014239,0.059,0.460,0.783
ENSGACT00000014241,0.078,0.016,0.122
ENSGACT00000014245,-0.309,0.001,0.014
ENSGACT00000014247,0.042,0.634,0.816
ENSGACT00000014248,0.002,0.708,0.883
ENSGACT00000014249,-0.143,0.066,0.266
ENSGACT00000014250,0.022,0.830,1.000
ENSGACT00000014251,0.071,0.250,0.545
ENSGACT00000014255,0.360,0.001,0.014
ENSGACT00000014256,0.053,0.546,0.816
ENSGACT00000014262,0.418,0.001,0.014
ENSGACT00000014264,0.414,0.001,0.014
ENSGACT00000014265,0.008,0.772,0.947
ENSGACT00000014267,-0.150,0.002,0.043
ENSGACT00000014269,0.154,0.032,0.191
ENSGACT00000014273,0.319,0.001,0.014
ENSGACT00000014277,0.159,0.002,0.043
ENSGACT00000014278,-0.597,0.001,0.014
ENSGACT00000014280,0.189,0.034,0.206
ENSGACT00000014285,-0.263,0.032,0.191
ENSGACT00000014287,0.128,0.124,0.465
ENSGACT00000014288,-0.075,0.070,0.271
ENSGACT00000014289,-0.394,0.001,0.014
ENSGACT00000014290,-0.041,0.214,0.545
ENSGACT00000014291,-0.751,0.001,0.014
ENSGACT00000014292,-0.053,0.716,0.883
ENSGACT00000014294,-0.279,0.001,0.014
ENSGACT00000014296,0.861,0.001,0.014
ENSGACT00000014299,-0.087,0.066,0.266
ENSGACT00000014307,-0.534,0.001,0.014
ENSGACT00000014310,-0.048,0.158,0.511
ENSGACT00000014319,0.002,0.958,1.000
ENSGACT00000014320,-0.345,0.001,0.014
ENSGACT00000014321,-0.097,0.344,0.641
ENSGACT00000014323,-0.716,0.001,0.014
ENSGACT00000014324,0.057,0.478,0.783
ENSGACT00000014325,0.282,0.001,0.014
ENSGACT00000014326,0.286,0.001,0.014
ENSGACT00000014333,0.012,0.836,1.000
ENSGACT00000014334,-0.336,0.001,0.014
ENSGACT00000014337,0.052,0.444,0.783
ENSGACT00000014345,-0.023,0.308,0.641
ENSGACT00000014346,0.201,0.050,0.254
ENSGACT00000014347,0.129,0.024,0.161
ENSGACT00000014348,0.116,0.062,0.266
ENSGACT00000014351,-0.299,0.016,0.122
ENSGACT00000014352,-0.103,0.094,0.343
ENSGACT00000014354,0.060,0.398,0.708
ENSGACT00000014355,-0.253,0.006,0.068
ENSGACT00000014356,0.152,0.044,0.254
ENSGACT00000014357,-0.162,0.086,0.325
ENSGACT00000014358,0.105,0.250,0.545
ENSGACT00000014359,0.049,0.638,0.816
ENSGACT00000014361,-1.070,0.001,0.014
ENSGACT00000014365,0.074,0.404,0.708
ENSGACT00000014366,-0.004,0.868,1.000
ENSGACT00000014369,0.010,0.852,1.000
ENSGACT00000014370,-0.706,0.001,0.014
ENSGACT00000014371,-0.068,0.536,0.816
ENSGACT00000014372,-0.243,0.001,0.014
ENSGACT00000014376,0.139,0.204,0.545
ENSGACT00000014377,-0.444,0.001,0.014
ENSGACT00000014378,0.112,0.070,0.309
ENSGACT00000014379,0.006,0.780,1.000
ENSGACT00000014383,0.166,0.001,0.014
ENSGACT00000014387,-0.044,0.572,0.816
ENSGACT00000014394,0.107,0.182,0.527
ENSGACT00000014397,0.092,0.096,0.343
ENSGACT00000014402,0.321,0.022,0.152
ENSGACT00000014405,-0.040,0.262,0.545
ENSGACT00000014406,0.067,0.398,0.708
ENSGACT00000014409,-0.926,0.001,0.014
ENSGACT00000014410,0.506,0.001,0.014
ENSGACT00000014416,0.097,0.532,0.816
ENSGACT00000014417,0.084,0.028,0.163
ENSGACT00000014418,0.003,0.980,1.000
ENSGACT00000014419,-0.090,0.356,0.641
ENSGACT00000014421,0.336,0.001,0.014
ENSGACT00000014422,0.077,0.332,0.641
ENSGACT00000014423,0.023,0.526,0.816
ENSGACT00000014430,0.179,0.001,0.014
ENSGACT00000014432,0.163,0.004,0.068
ENSGACT00000014433,0.044,0.284,0.554
ENSGACT00000014436,-0.006,0.754,0.947
ENSGACT00000014441,-0.496,0.014,0.122
ENSGACT00000014446,0.797,0.001,0.014
ENSGACT00000014447,-0.059,0.270,0.545
ENSGACT00000014449,-0.446,0.001,0.014
ENSGACT00000014450,0.227,0.001,0.014
ENSGACT00000014457,-0.195,0.062,0.266
ENSGACT00000014459,0.092,0.790,1.000
ENSGACT00000014460,-0.006,0.890,1.000
ENSGACT00000014463,-0.088,0.170,0.511
ENSGACT00000014464,0.126,0.010,0.097
ENSGACT00000014466,0.052,0.570,0.816
ENSGACT00000014467,0.087,0.572,0.816
ENSGACT00000014468,-0.059,0.788,1.000
ENSGACT00000014475,0.194,0.004,0.068
ENSGACT00000014477,-0.179,0.262,0.545
ENSGACT00000014479,-0.120,0.012,0.102
ENSGACT00000014482,-0.143,0.214,0.545
ENSGACT00000014483,-0.109,0.060,0.266
ENSGACT00000014484,-0.769,0.001,0.014
ENSGACT00000014487,0.271,0.001,0.014
ENSGACT00000014491,-1.148,0.001,0.014
ENSGACT00000014492,0.078,0.274,0.554
ENSGACT00000014500,0.047,0.222,0.545
ENSGACT00000014501,0.327,0.001,0.014
ENSGACT00000014509,0.090,0.014,0.122
ENSGACT00000014512,-0.235,0.020,0.152
ENSGACT00000014514,0.332,0.001,0.014
ENSGACT00000014516,-0.561,0.001,0.014
ENSGACT00000014517,0.365,0.001,0.014
ENSGACT00000014518,-0.087,0.310,0.641
ENSGACT00000014521,0.912,0.001,0.014
ENSGACT00000014523,0.103,0.524,0.816
ENSGACT00000014525,-0.061,0.438,0.783
ENSGACT00000014528,-0.117,0.392,0.708
ENSGACT00000014534,0.368,0.001,0.014
ENSGACT00000014535,0.542,0.174,0.511
ENSGACT00000014539,-0.131,0.010,0.097
ENSGACT00000014540,0.034,0.558,0.816
ENSGACT00000014541,0.292,0.044,0.254
ENSGACT00000014547,0.437,0.001,0.014
ENSGACT00000014548,0.292,0.002,0.043
ENSGACT00000014550,-0.284,0.001,0.014
ENSGACT00000014552,-1.026,0.001,0.014
ENSGACT00000014553,0.199,0.022,0.152
ENSGACT00000014556,0.085,0.562,0.816
ENSGACT00000014563,0.289,0.008,0.073
ENSGACT00000014566,0.254,0.002,0.043
ENSGACT00000014567,0.124,0.122,0.465
ENSGACT00000014568,-0.006,0.692,0.862
ENSGACT00000014570,-0.263,0.004,0.068
ENSGACT00000014573,-0.928,0.001,0.014
ENSGACT00000014574,0.096,0.108,0.465
ENSGACT00000014576,-0.019,0.960,1.000
ENSGACT00000014582,-0.118,0.326,0.641
ENSGACT00000014583,0.007,0.504,0.816
ENSGACT00000014585,0.112,0.004,0.068
ENSGACT00000014587,-0.240,0.001,0.014
ENSGACT00000014589,0.079,0.286,0.597
ENSGACT00000014591,-0.025,0.932,1.000
ENSGACT00000014593,-0.627,0.001,0.014
ENSGACT00000014596,-0.120,0.530,0.816
ENSGACT00000014599,-0.087,0.500,0.816
ENSGACT00000014604,0.223,0.032,0.191
ENSGACT00000014607,-0.028,0.726,0.883
ENSGACT00000014609,0.258,0.048,0.254
ENSGACT00000014610,0.179,0.012,0.102
ENSGACT00000014611,0.111,0.170,0.511
ENSGACT00000014612,0.354,0.001,0.014
ENSGACT00000014615,-0.150,0.036,0.206
ENSGACT00000014620,-0.156,0.086,0.325
ENSGACT00000014621,0.058,0.356,0.641
ENSGACT00000014622,-0.051,0.798,1.000
ENSGACT00000014624,0.205,0.104,0.465
ENSGACT00000014632,0.300,0.001,0.014
ENSGACT00000014633,0.226,0.040,0.254
ENSGACT00000014635,0.724,0.001,0.014
ENSGACT00000014640,0.475,0.001,0.014
ENSGACT00000014643,0.237,0.001,0.014
ENSGACT00000014645,0.577,0.001,0.014
ENSGACT00000014647,0.248,0.150,0.511
ENSGACT00000014655,0.077,0.152,0.511
ENSGACT00000014658,0.139,0.152,0.511
ENSGACT00000014662,-0.144,0.018,0.152
ENSGACT00000014663,0.018,0.828,1.000
ENSGACT00000014664,-0.014,0.874,1.000
ENSGACT00000014665,0.190,0.012,0.102
ENSGACT00000014668,0.145,0.001,0.014
ENSGACT00000014669,-0.320,0.001,0.014
ENSGACT00000014671,0.153,0.098,0.343
ENSGACT00000014678,-0.145,0.004,0.068
ENSGACT00000014679,0.192,0.028,0.163
ENSGACT00000014681,0.000,0.826,1.000
ENSGACT00000014682,0.043,0.726,0.883
ENSGACT00000014687,0.049,0.708,0.883
ENSGACT00000014691,0.079,0.066,0.271
ENSGACT00000014696,-0.244,0.078,0.325
ENSGACT00000014701,0.185,0.018,0.152
ENSGACT00000014702,0.109,0.112,0.465
ENSGACT00000014704,-0.031,0.500,0.816
ENSGACT00000014706,0.245,0.020,0.152
ENSGACT00000014708,1.948,0.001,0.014
ENSGACT00000014710,-0.150,0.078,0.325
ENSGACT00000014712,-0.196,0.038,0.208
ENSGACT00000014715,-0.126,0.450,0.783
ENSGACT00000014718,0.186,0.038,0.208
ENSGACT00000014721,-0.278,0.002,0.043
ENSGACT00000014723,0.045,0.426,0.783
ENSGACT00000014724,0.053,0.162,0.511
ENSGACT00000014725,-0.121,0.062,0.266
ENSGACT00000014728,0.286,0.014,0.122
ENSGACT00000014731,0.100,0.070,0.309
ENSGACT00000014734,0.294,0.001,0.014
ENSGACT00000014738,-0.003,0.698,0.862
ENSGACT00000014740,0.425,0.004,0.068
ENSGACT00000014744,-0.239,0.001,0.014
ENSGACT00000014745,-0.135,0.504,0.816
ENSGACT00000014746,-0.068,0.322,0.641
ENSGACT00000014751,-0.964,0.001,0.014
ENSGACT00000014753,-0.333,0.001,0.014
ENSGACT00000014757,-0.038,0.464,0.783
ENSGACT00000014758,0.032,0.516,0.816
ENSGACT00000014760,-0.259,0.001,0.014
ENSGACT00000014762,-0.087,0.060,0.266
ENSGACT00000014764,-0.581,0.001,0.014
ENSGACT00000014766,0.119,0.350,0.641
ENSGACT00000014769,0.276,0.002,0.043
ENSGACT00000014777,-0.062,0.116,0.465
ENSGACT00000014780,0.128,0.008,0.073
ENSGACT00000014785,-0.110,0.138,0.503
ENSGACT00000014787,0.220,0.038,0.208
ENSGACT00000014788,0.117,0.104,0.465
ENSGACT00000014791,0.062,0.958,1.000
ENSGACT00000014796,0.263,0.006,0.068
ENSGACT00000014799,-1.138,0.001,0.014
ENSGACT00000014801,-0.115,0.028,0.163
ENSGACT00000014803,-0.136,0.094,0.343
ENSGACT00000014805,0.023,0.790,1.000
ENSGACT00000014806,-0.256,0.001,0.014
ENSGACT00000014807,-0.215,0.060,0.266
ENSGACT00000014809,0.032,0.232,0.545
ENSGACT00000014816,0.009,0.748,0.947
ENSGACT00000014818,-0.145,0.018,0.152
ENSGACT00000014823,0.471,0.001,0.014
ENSGACT00000014825,-0.064,0.572,0.816
ENSGACT00000014827,0.601,0.001,0.014
ENSGACT00000014833,0.230,0.102,0.465
ENSGACT00000014834,-0.133,0.010,0.097
ENSGACT00000014837,0.086,0.674,0.862
ENSGACT00000014845,0.164,0.032,0.191
ENSGACT00000014852,0.015,0.992,1.000
ENSGACT00000014859,0.585,0.001,0.014
ENSGACT00000014861,0.092,0.326,0.641
ENSGACT00000014864,-0.791,0.001,0.014
ENSGACT00000014866,0.426,0.001,0.014
ENSGACT00000014867,0.111,0.328,0.641
ENSGACT00000014870,-0.004,0.790,1.000
ENSGACT00000014877,0.520,0.001,0.014
ENSGACT00000014879,-0.034,0.316,0.641
ENSGACT00000014880,0.123,0.076,0.325
ENSGACT00000014883,0.115,0.272,0.545
ENSGACT00000014888,-0.178,0.002,0.043
ENSGACT00000014899,0.027,0.660,0.862
ENSGACT00000014902,0.029,0.272,0.545
ENSGACT00000014903,-0.384,0.001,0.014
ENSGACT00000014908,0.303,0.004,0.068
ENSGACT00000014909,-0.030,0.416,0.783
ENSGACT00000014910,0.099,0.010,0.097
ENSGACT00000014913,0.008,0.936,1.000
ENSGACT00000014920,0.008,0.854,1.000
ENSGACT00000014921,0.173,0.112,0.465
ENSGACT00000014925,0.133,0.110,0.465
ENSGACT00000014926,2.928,0.001,0.014
ENSGACT00000014929,-0.010,0.754,0.947
ENSGACT00000014930,0.388,0.002,0.043
ENSGACT00000014931,0.761,0.020,0.152
ENSGACT00000014932,0.003,0.982,1.000
ENSGACT00000014936,-0.080,0.328,0.641
ENSGACT00000014937,-0.169,0.012,0.102
ENSGACT00000014939,0.087,0.480,0.783
ENSGACT00000014940,-0.248,0.058,0.266
ENSGACT00000014941,0.329,0.004,0.068
ENSGACT00000014942,0.155,0.008,0.073
ENSGACT00000014945,0.156,0.002,0.043
ENSGACT00000014946,0.601,0.001,0.014
ENSGACT00000014951,0.229,0.014,0.122
ENSGACT00000014956,0.174,0.024,0.161
ENSGACT00000014957,0.218,0.006,0.068
ENSGACT00000014960,0.046,0.204,0.545
ENSGACT00000014971,-0.048,0.764,0.947
ENSGACT00000014972,0.026,0.464,0.783
ENSGACT00000014973,-0.592,0.001,0.014
ENSGACT00000014975,0.031,0.774,1.000
ENSGACT00000014980,0.349,0.001,0.014
ENSGACT00000014982,0.135,0.006,0.068
ENSGACT00000014984,-0.237,0.098,0.343
ENSGACT00000014987,-0.107,0.156,0.511
ENSGACT00000014988,0.145,0.134,0.498
ENSGACT00000014990,0.036,0.790,1.000
ENSGACT00000014994,0.011,0.688,0.862
ENSGACT00000014996,0.120,0.196,0.545
ENSGACT00000015001,0.038,0.342,0.641
ENSGACT00000015002,0.141,0.008,0.073
ENSGACT00000015004,-0.005,0.668,0.862
ENSGACT00000015005,-0.093,0.834,1.000
ENSGACT00000015006,-0.008,0.818,1.000
ENSGACT00000015010,-0.297,0.001,0.014
ENSGACT00000015015,-0.036,0.642,0.816
ENSGACT00000015018,0.046,0.384,0.708
ENSGACT00000015019,-0.138,0.012,0.102
ENSGACT00000015022,-0.065,0.062,0.266
ENSGACT00000015023,-0.173,0.252,0.545
ENSGACT00000015024,0.028,0.718,0.883
ENSGACT00000015030,0.097,0.190,0.537
ENSGACT00000015038,-0.038,0.286,0.597
ENSGACT00000015039,-0.061,0.212,0.545
ENSGACT00000015040,-0.120,0.076,0.325
ENSGACT00000015042,-0.091,0.164,0.511
ENSGACT00000015044,0.058,0.206,0.545
ENSGACT00000015045,-0.054,0.462,0.783
ENSGACT00000015048,-0.086,0.040,0.254
ENSGACT00000015051,0.069,0.118,0.465
ENSGACT00000015053,-0.177,0.002,0.043
ENSGACT00000015055,0.890,0.001,0.014
ENSGACT00000015056,0.107,0.406,0.708
ENSGACT00000015057,0.016,0.632,0.816
ENSGACT00000015059,0.449,0.001,0.014
ENSGACT00000015065,0.150,0.024,0.161
ENSGACT00000015066,0.009,0.590,0.816
ENSGACT00000015067,0.013,0.880,1.000
ENSGACT00000015070,0.124,0.002,0.043
ENSGACT00000015074,0.012,0.898,1.000
ENSGACT00000015080,-0.004,0.978,1.000
ENSGACT00000015083,-0.395,0.001,0.014
ENSGACT00000015085,-0.044,0.994,1.000
ENSGACT00000015088,-0.078,0.064,0.266
ENSGACT00000015089,0.056,0.552,0.816
ENSGACT00000015090,0.053,0.604,0.816
ENSGACT00000015093,-0.101,0.086,0.325
ENSGACT00000015094,0.111,0.001,0.014
ENSGACT00000015096,1.244,0.001,0.014
ENSGACT00000015097,-0.096,0.148,0.511
ENSGACT00000015101,-0.192,0.004,0.068
ENSGACT00000015107,0.009,0.534,0.816
ENSGACT00000015110,0.108,0.078,0.325
ENSGACT00000015114,0.116,0.160,0.511
ENSGACT00000015116,0.070,0.064,0.266
ENSGACT00000015118,-0.004,0.796,1.000
ENSGACT00000015121,0.061,0.346,0.641
ENSGACT00000015124,0.077,0.800,1.000
ENSGACT00000015125,-0.001,0.802,1.000
ENSGACT00000015126,0.054,0.684,0.862
ENSGACT00000015129,-0.040,0.168,0.511
ENSGACT00000015133,-0.043,0.716,0.883
ENSGACT00000015145,-0.669,0.001,0.014
ENSGACT00000015152,0.000,0.984,1.000
ENSGACT00000015154,0.519,0.001,0.014
ENSGACT00000015160,-0.126,0.008,0.068
ENSGACT00000015161,0.032,0.564,0.816
ENSGACT00000015162,-0.022,0.358,0.641
ENSGACT00000015164,-0.090,0.356,0.641
ENSGACT00000015168,-0.007,0.996,1.000
ENSGACT00000015169,0.137,0.164,0.511
ENSGACT00000015170,-0.028,0.548,0.816
ENSGACT00000015171,-0.085,0.418,0.783
ENSGACT00000015172,0.358,0.001,0.014
ENSGACT00000015179,0.169,0.001,0.014
